,35fed6a9a0bf1c_labelled,35f96084a59be8_labelled,360eacde42f07c_labelled,360f61a2ebff78_labelled,36102f386840b2_labelled,35fed7c5974de0_labelled,35ff04767aa900_labelled,36312f4bf9d3d6_labelled,35fb0a1ac2e81c_labelled,35fafcced91e3a_labelled,360f70686ed3c2_labelled,360e9521584ce6_labelled,36110ae10c3d3e_labelled,35ffb55217e592_labelled,35777777777777_labelled,3626f804162108_labelled,35fa42ba5190a4_labelled,35818181818181_labelled,35797979797979_labelled,35fef442aba2f8_labelled,35fa37921286fe_labelled,35ffa65213cd1a_labelled,360521efaa3e7e_labelled,3602d0b7f8f7de_labelled,360ea61b204b08_labelled,35fe13b4df2dc8_labelled,360088be33e584_labelled
Adult,0.0011806375442739079,0.0015794045644791914,0.0017731057847576227,0.0024255024255024253,0.014189988175009854,0.0,0.0013198416190057193,0.006577144423129624,0.0013433337064815852,0.00549738219895288,0.008731381612737545,0.0,0.0014920234132904855,0.0,0.00579950289975145,0.001813236627379873,0.0020997060411542382,0.0,0.0,0.0021513540875727666,0.0036040365209034117,0.01390644753476612,0.1236614853195164,0.0016181229773462784,0.032950574138791815,0.0033640226628895184,0.0077265805651119505
Beauty & Fitness,0.0027548209366391185,0.01101634683724236,0.014659785327549631,0.018364518364518363,0.006109578242018131,0.004842615012106538,0.01671799384073911,0.015894765689229925,0.012761670211575059,0.016230366492146597,0.01027221366204417,0.0,0.028118902788936074,0.012096774193548387,0.014333057166528584,0.027198549410698096,0.009928609994600756,0.0,0.0,0.016198430777018477,0.024026910139356077,0.0037926675094816687,0.010880829015544042,0.05643203883495146,0.010484273589615577,0.012836402266288951,0.01765269866335796
News,0.03817394726485636,0.034154623706862515,0.02821137953962575,0.028066528066528068,0.0385297595585337,0.03389830508474576,0.02199736031676199,0.033433817484242255,0.02350833986342774,0.034031413612565446,0.03954802259887006,0.0,0.016986112705153218,0.04435483870967742,0.046313173156586576,0.01964339679661529,0.017037614733937247,0.0,0.07407407407407407,0.024677296886864084,0.019702066314271984,0.0012642225031605564,0.0231433506044905,0.013551779935275081,0.025961058412381426,0.02186614730878187,0.04404714906096667
Books & Literature,0.016922471467926012,0.040985548448235015,0.004686065288288003,0.013513513513513514,0.008376034686637761,0.010895883777239709,0.04179498460184778,0.018361194847903536,0.0181350050375014,0.015183246073298429,0.005649717514124294,0.0,0.023068977390106736,0.016129032258064516,0.021706710853355425,0.061952251435479,0.01664766932629432,0.0,0.0,0.23538344722854973,0.01826045170591062,0.0037926675094816687,0.01606217616580311,0.007686084142394822,0.019470793809286072,0.005577195467422096,0.017370706671930518
Online Communities,0.014167650531286895,0.008726210218747532,0.018839248963049744,0.00693000693000693,0.014091446590461175,0.0012106537530266344,0.003959524857017158,0.013428336530556317,0.0060450016791671335,0.00549738219895288,0.007190549563430919,0.0,0.011362332147366004,0.0,0.01516155758077879,0.025385312783318223,0.015357849901013859,0.037037037037037035,0.0,0.03771197165274614,0.01585776069197501,0.018963337547408345,0.05302245250431779,0.005865695792880259,0.012980529206190713,0.005842776203966006,0.013479217190231797
Law & Government,0.012593467138921684,0.01788675669272684,0.02289206218535288,0.0148995148995149,0.016160819865983445,0.0423728813559322,0.010558732952045754,0.01644286105782406,0.031904175528937644,0.020942408376963352,0.02054442732408834,0.0,0.02949615517043498,0.008064516129032258,0.02311516155758078,0.014808099123602297,0.02561641370208171,0.07407407407407407,0.0,0.017463933181473046,0.016338298894762134,0.010113780025284451,0.011398963730569948,0.005865695792880259,0.010983524712930605,0.01451841359773371,0.03101911905701878
Sensitive Subjects,0.008264462809917356,0.007857537708283976,0.013076655162587467,0.003465003465003465,0.011233740638549468,0.009685230024213076,0.005279366476022877,0.006303096738832557,0.010746669651852682,0.009947643979057591,0.004108885464817668,0.0,0.015379318260071159,0.004032258064516129,0.014913007456503728,0.003928679359323058,0.01208830763693083,0.0,0.0,0.003543406732472792,0.0036040365209034117,0.0050568900126422255,0.009153713298791019,0.00424757281553398,0.00798801797304044,0.0047804532577903685,0.0073881901753990184
Science,0.13183785911058638,0.07494274658453763,0.0472089415191717,0.08835758835758836,0.04621600315333071,0.05690072639225181,0.046194456665200175,0.0550835845437106,0.11978058882794135,0.016492146596858638,0.03184386235233693,0.0,0.04464593136692299,0.08064516129032258,0.04324772162386081,0.031429434874584466,0.04472373867658528,0.07407407407407407,0.0,0.015945330296127564,0.04517059106198943,0.017699115044247787,0.04127806563039724,0.018001618122977348,0.06040938592111832,0.10756019830028328,0.09192938920534657
Hobbies & Leisure,0.011412829594647777,0.015478164731896076,0.015451350410030713,0.016285516285516284,0.012613322822230981,0.010895883777239709,0.04179498460184778,0.0348040559057276,0.029665286018135006,0.03324607329842932,0.015408320493066256,0.0,0.03477562263284747,0.036290322580645164,0.024937862468931236,0.017527954064672106,0.025406443097966285,0.037037037037037035,0.0,0.09377372817008352,0.019702066314271984,0.011378002528445006,0.013989637305699482,0.021844660194174758,0.008986520219670495,0.013013456090651559,0.013648412385088264
Games,0.03620621802439984,0.008173418621179816,0.04838045784124371,0.012474012474012475,0.046708711076074105,0.004842615012106538,0.015398152221733392,0.009317621266100301,0.003806112168364491,0.0062827225130890054,0.03954802259887006,0.0,0.011821416274532308,0.03225806451612903,0.010604805302402652,0.007857358718646117,0.12544243805867178,0.037037037037037035,0.037037037037037035,0.004682358896481904,0.012493993272465162,0.2503160556257901,0.020379965457685664,0.0040453074433656954,0.09885172241637544,0.00964943342776204,0.05780835824262591
Jobs & Education,0.07713498622589532,0.09215825633736081,0.059778995028971285,0.07345807345807345,0.08711076074103272,0.24213075060532688,0.03343598768147822,0.08057001918333791,0.16724504645695734,0.09345549738219895,0.07909604519774012,0.07692307692307693,0.078732927809021,0.08064516129032258,0.1067937033968517,0.0719250528860683,0.07753914451976723,0.07407407407407407,0.0,0.16881802075423943,0.03531955790485344,0.007585335018963337,0.03143350604490501,0.2008495145631068,0.06989515726410385,0.07737252124645892,0.06705769556144606
Autos & Vehicles,0.00905155450609996,0.006159677801468846,0.0380584491656904,0.007276507276507277,0.004729996058336618,0.0012106537530266344,0.004839419269687638,0.00712523979172376,0.009851113847531625,0.0034031413612565444,0.007704160246533128,0.0,0.008033972225410307,0.004032258064516129,0.004059652029826015,0.004835297673012995,0.006509088727578139,0.0,0.0,0.002531004808909137,0.008169149447381067,0.0050568900126422255,0.07616580310880829,0.0022249190938511327,0.0199700449326011,0.0596671388101983,0.007613783768540974
Computers & Electronics,0.1184573002754821,0.022506515043828477,0.08365259791660071,0.042966042966042964,0.04247142294048088,0.07384987893462469,0.02111746590409151,0.03206357906275692,0.029553341542594872,0.015183246073298429,0.015408320493066256,0.07692307692307693,0.016297486514403766,0.012096774193548387,0.014581607290803645,0.042006648534300396,0.06947027416161737,0.0,0.037037037037037035,0.007086813464945584,0.029072561268620855,0.12389380530973451,0.01848013816925734,0.007888349514563107,0.05292061907139291,0.07967422096317281,0.0787885624048277
People & Society,0.02676111767020858,0.02921898444286504,0.02843301776272045,0.025294525294525295,0.057843910130074894,0.03389830508474576,0.0664320281566212,0.04549191559331324,0.02518750699652972,0.04581151832460733,0.028762198253723677,0.3076923076923077,0.06668196947090554,0.13306451612903225,0.05749792874896437,0.037775763070414026,0.02975583418321435,0.0,0.037037037037037035,0.035560617565173376,0.03315713599231139,0.029077117572692796,0.0459412780656304,0.02568770226537217,0.0454318522216675,0.01929886685552408,0.02927076871016863
Reference,0.09917355371900827,0.2935718234225697,0.058860779533293224,0.07969507969507969,0.09420575482853764,0.1089588377723971,0.09810822701275847,0.10112359550561797,0.14261726183812828,0.17722513089005235,0.07601438109912687,0.0,0.13198668656031218,0.12096774193548387,0.08053024026512014,0.14747657902689634,0.06398104265402843,0.037037037037037035,0.037037037037037035,0.03961022525942799,0.21167707832772706,0.1390644753476612,0.07996545768566495,0.040250809061488674,0.08437343984023964,0.05019475920679887,0.0987535953978907
Internet & Telecom,0.05076741440377804,0.016188896785911712,0.03286578222461451,0.019057519057519057,0.08346472211273158,0.039951573849878935,0.012758468983721953,0.023020005480953686,0.016679726855479683,0.020942408376963352,0.01746276322547509,0.15384615384615385,0.011247561115574428,0.0,0.01739850869925435,0.025385312783318223,0.02414661947327374,0.0,0.18518518518518517,0.013540875727663883,0.02787121576165305,0.11883691529709228,0.013644214162348877,0.00849514563106796,0.054418372441337994,0.01903328611898017,0.027296824770176528
Real Estate,0.0003935458480913026,0.001460949222143252,0.0025013456606402177,0.001386001386001386,0.0064052029956641705,0.0,0.002199736031676199,0.001644286105782406,0.002238889510802642,0.0031413612565445027,0.0015408320493066256,0.0,0.0018363365086652129,0.004032258064516129,0.0024855012427506215,0.006648534300392868,0.0019197312376267324,0.0,0.0,0.00037965072133637056,0.0019221528111484864,0.0,0.0017271157167530224,0.0016181229773462784,0.0,0.00911827195467422,0.00558344143026338
